codigo_ocorrencia,codigo_fator,fator,aspecto,condicionante,area,detalhe_fator
26259,11083                                                                                                                           ,PROJETO                                                                                         ,ASPECTO DO PROJETO           ,***                                        ,FATOR MATERIAL   ,"TENDO EM VISTA A ESTATÍSTICA LEVANTADA PELO FABRICANTE DO MOTOR, APRESENTANDO QUE EM TODA A FROTA MUNDIAL OCORRERAM SETE EVENTOS SEMELHANTES COM O MOTOR PW545A, RESULTANDO EM UMA TAXA DE UM EVENTO A CADA 140.000 HORAS DE OPERAÇÃO E CONSIDERANDO-SE, AINDA, QUE O FABRICANTE CLASSIFICOU A SEVERIDADE DESTE EVENTO COMO MAJOR ENGINE EFFECTS, SENDO ACEITÁVEL UMA PROBABILIDADE REMOTA DE UM EVENTO A CADA 100.000 HORAS DE OPERAÇÃO, FICA INDETERMINADO AFIRMAR QUE O PROJETO TENHA CONTRIBUIÇÃO PARA ESTA OCORRÊNCIA.         "
26421,11094                                                                                                                           ,JULGAMENTO DE PILOTAGEM                                                                         ,DESEMPENHO DO SER HUMANO     ,OPERAÇÃO DA AERONAVE                       ,FATOR OPERACIONAL,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
26439,11096                                                                                                                           ,APLICAÇÃO DE COMANDOS                                                                           ,DESEMPENHO DO SER HUMANO     ,OPERAÇÃO DA AERONAVE                       ,FATOR OPERACIONAL,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
26480,11099                                                                                                                           ,JULGAMENTO DE PILOTAGEM                                                                         ,DESEMPENHO DO SER HUMANO     ,OPERAÇÃO DA AERONAVE                       ,FATOR OPERACIONAL,"O INSTRUTOR DECIDIU POUSAR EM UMA ÁREA COM ALGUNS OBSTÁCULOS, QUANDO PODERIA TER OPTADO POR UMA ÁREA LIVRE DE OBSTÁCULO AO REDOR DO PONTO ESCOLHIDO.                                                                                                                                                                                                                                                                                                                                                                                "
26521,11103                                                                                                                           ,INDISCIPLINA DE VOO                                                                             ,DESEMPENHO DO SER HUMANO     ,OPERAÇÃO DA AERONAVE                       ,FATOR OPERACIONAL,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
26559,                                                                                                                                ,                                                                                                ,                             ,                                           ,                 ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
26560,                                                                                                                                ,                                                                                                ,                             ,                                           ,                 ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
26562,11104                                                                                                                           ,SUPERVISÃO GERENCIAL                                                                            ,DESEMPENHO DO SER HUMANO     ,OPERAÇÃO DA AERONAVE                       ,FATOR OPERACIONAL,"A EMPRESA OPERADORA NÃO ESTABELECEU PROCEDIMENTOS CLAROS E ESPECÍFICOS PARA A OPERAÇÃO EM CONGONHAS COM PISTA MOLHADA, À VISTA DO NOTAM EXPEDIDO, O QUE PERMITIU A REALIZAÇÃO DO POUSO EM CONDIÇÕES DESFAVORÁVEIS, QUAIS SEJAM, PISTA MOLHADA, FLUTUAÇÃO NO PALIÊ E COM APENAS UM REVERSO OPERANTE.
AS FALHAS VERIFICADAS NA ESTRUTURA DA EMPRESA PODEM TER INFLUENCIADO NA FALTA DE PROCEDIMENTOS ESPECÍFICOS.                                                                                                                    "
26609,                                                                                                                                ,                                                                                                ,                             ,                                           ,                 ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
26610,11108                                                                                                                           ,INFRAESTRUTURA AEROPORTUÁRIA                                                                    ,INFRAESTRUTURA AEROPORTUÁRIA ,***                                        ,FATOR OPERACIONAL,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
26619,11110                                                                                                                           ,ATITUDE                                                                                         ,ASPECTO PSICOLÓGICO          ,INDIVIDUAL                                 ,FATOR HUMANO     ,"O PILOTO DA EMPRESA FOI CONDESCENDENTE COM A ORDEM DE OPERAR EM HELIPONTO INTERDITADO. TAMBÉM PERMITIU QUE UM PILOTO COM HABILITAÇÃO VENCIDA ASSUMISSE A OPERAÇÃO DA AERONAVE. TAIS ATITUDES DEMONSTRAM, TAMBÉM, DEFICIENTE DOUTRINA DE SEGURANÇA DE VOO.                                                                                                                                                                                                                                                                           "
26620,11121                                                                                                                           ,SUPERVISÃO GERENCIAL                                                                            ,DESEMPENHO DO SER HUMANO     ,OPERAÇÃO DA AERONAVE                       ,FATOR OPERACIONAL,"A EMPRESA NÃO ADOTOU MEDIDAS DE SUPERVISÃO ADEQUADAS, POSSIBILITANDO A EXISTÊNCIA DE UMA CULTURA DE SEGURANÇA DE VOO POUCO DESENVOLVIDA, QUE IMPEDIU QUE SE PUDESSEM IDENTIFICAR, ANTECIPADAMENTE, AS ATITUDES
TOMADAS PELO TRIPULANTE ACIDENTADO
E O CONCEITO EQUIVOCADO DE CRM EXISTENTE NA EMPRESA , OS QUAIS REPRESENTAVAM UM POTENCIAL DE RISCO PARA SUAS OPERAÇÕES, BEM COMO PELO NÃO CUMPRIMENTO DE ALGUMASMEDIDAS EDUCATIVAS PREVISTAS NO SEU PPAA.                                                                       "
26621,11127                                                                                                                           ,SUPERVISÃO GERENCIAL                                                                            ,DESEMPENHO DO SER HUMANO     ,OPERAÇÃO DA AERONAVE                       ,FATOR OPERACIONAL,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
26622,                                                                                                                                ,                                                                                                ,                             ,                                           ,                 ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
26642,11134                                                                                                                           ,JULGAMENTO DE PILOTAGEM                                                                         ,DESEMPENHO DO SER HUMANO     ,OPERAÇÃO DA AERONAVE                       ,FATOR OPERACIONAL,O PILOTO DECIDIU PROSSEGUIR NO VOO EM ROTA COM CONDIÇÕES DE TETO E DE VISIBILIDADE ABAIXO DOS MÍNIMOS NECESSÁRIOS PARA MANTER O VOO VISUAL.                                                                                                                                                                                                                                                                                                                                                                                         
26643,11138                                                                                                                           ,SUPERVISÃO GERENCIAL                                                                            ,DESEMPENHO DO SER HUMANO     ,OPERAÇÃO DA AERONAVE                       ,FATOR OPERACIONAL,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
26660,                                                                                                                                ,                                                                                                ,                             ,                                           ,                 ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
26679,11140                                                                                                                           ,APLICAÇÃO DE COMANDOS                                                                           ,DESEMPENHO DO SER HUMANO     ,OPERAÇÃO DA AERONAVE                       ,FATOR OPERACIONAL,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
26719,11145                                                                                                                           ,SUPERVISÃO GERENCIAL                                                                            ,DESEMPENHO DO SER HUMANO     ,OPERAÇÃO DA AERONAVE                       ,FATOR OPERACIONAL,"O INSPETOR DE MANUTENÇÃO NÃO IDENTIFICOU QUE O EXECUTOR DOS SERVIÇOS NÃO HAVIA INSTALADO OS ""SLABS HEAD BOLTS"", CONFORME DETERMINA O ITEM 7, DA PÁGINA 518, CAPÍTULO 72-50-00, DO
ROLLS-ROYCE 250-C20 SERIES OVERHAUL MANUAL EXCERPTS
.
O INSPETOR DO BANCO DE PROVAS E O RESPONSÁVEL PELO CONTROLE DE QUALIDADE NÃO ASSINARAM A FICHA DE LIBERAÇÃO DO MOTOR NO BANCO DE PROVAS, BEM COMO NÃO IDENTIFICARAM QUE O MOTOR HAVIA SIDO LIBERADO SEM UMA SOLUÇÃO PAR A O PROBLEMA DE VIBRAÇÃO.                                        "
26720,11147                                                                                                                           ,APLICAÇÃO DE COMANDOS                                                                           ,DESEMPENHO DO SER HUMANO     ,OPERAÇÃO DA AERONAVE                       ,FATOR OPERACIONAL,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
26723,11157                                                                                                                           ,APLICAÇÃO DE COMANDOS                                                                           ,DESEMPENHO DO SER HUMANO     ,OPERAÇÃO DA AERONAVE                       ,FATOR OPERACIONAL,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
26759,11162                                                                                                                           ,PROCESSO DECISÓRIO                                                                              ,ASPECTO PSICOLÓGICO          ,INDIVIDUAL                                 ,FATOR HUMANO     ,"A AERONAVE CAIU EM UM CAMPO ARADO, COM AMPLOS SETORES LIVRES DE OBSTÁCULOS QUE PERMITIRIAM UM POUSO FORÇADO, SENÃO SEM DANOS À AERONAVE, MAS COM ELEVADA POSSIBILIDADE DE SOBREVIVÊNCIA.
AS CARACTERÍSTICAS DO ACIDENTE APONTAM PARA UM GERENCIAMENTO INADEQUADO DA FALHA DO MOTOR. OS INDÍCIOS SÃO DE QUE O PILOTO VOLTOU A SUA ATENÇÃO PARA A IDENTIFICAÇÃO OU PARA A CORREÇÃO DA PANE, QUANDO A SITUAÇÃO EXIGIA CONCENTRAÇÃO NO PLANEIO PARA O POUSO FORÇADO.                                                                   "
26779,11165                                                                                                                           ,SUPERVISÃO GERENCIAL                                                                            ,DESEMPENHO DO SER HUMANO     ,OPERAÇÃO DA AERONAVE                       ,FATOR OPERACIONAL,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
26780,11169                                                                                                                           ,APLICAÇÃO DE COMANDOS                                                                           ,DESEMPENHO DO SER HUMANO     ,OPERAÇÃO DA AERONAVE                       ,FATOR OPERACIONAL,"O PILOTO APLICOU INDEVIDAMENTE OS COMANDOS QUANDO DO INÍCIO DO PROCESSO DE PERDA DE CONTROLE. – A LIMITAÇÃO DO CURSO DO PEDAL DIREITO, QUE IMPEDIA O CONTROLE DO GIRO PARA A ESQUERDA DECORRENTE DA REDUÇÃO TORQUE POR REDUÇÃO DE POTÊNCIA APÓS A DECOLAGEM, PODERIA SER SOBREPUJADA PELO INCREMENTO DA POTÊNCIA E AUMENTO DA VELOCIDADE HORIZONTAL.                                                                                                                                                                                "
26860,11175                                                                                                                           ,CONDIÇÕES METEOROLÓGICAS ADVERSAS                                                               ,***                          ,***                                        ,***              ,"O METAR DO AERÓDROMO DE GUARULHOS INDICAVA CONDIÇÕES ADVERSAS NA REGIÃO. TESTEMUNHAS LOCAIS E POLICIAIS DO GRUPAMENTO AÉREO DISSERAM QUE AS CONDIÇÕES, ESPECIFICAMENTE NA SERRA, ERAM DE NEBLINA COBRINDO O TOPO DAS ÁRVORES E DE INCIDÊNCIA DE CHUVISCO, O QUE PREJUDICOU A VISUALIZAÇÃO DOS OBSTÁCULOS.                                                                                                                                                                                                                           "
26861,                                                                                                                                ,                                                                                                ,                             ,                                           ,                 ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
26902,                                                                                                                                ,                                                                                                ,                             ,                                           ,                 ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
26959,11181                                                                                                                           ,JULGAMENTO DE PILOTAGEM                                                                         ,DESEMPENHO DO SER HUMANO     ,OPERAÇÃO DA AERONAVE                       ,FATOR OPERACIONAL,"É PROVÁVEL QUE O PILOTO NÃO TENHA UTILIZADO OS PARÂMETROS ADEQUADOS DE VELOCIDADE E ALTURA NA APROXIMAÇÃO FINAL, RESULTANDO EM UMA ATERRISSAGEM LONGA, NÃO TENDO SIDO POSSÍVEL CONTROLAR A AERONAVE NOS LIMITES DISPONÍVEIS DE PISTA.                                                                                                                                                                                                                                                                                               "
26960,11184                                                                                                                           ,SUPERVISÃO GERENCIAL                                                                            ,DESEMPENHO DO SER HUMANO     ,OPERAÇÃO DA AERONAVE                       ,FATOR OPERACIONAL,"NA REINSTALAÇÃO DO FCU  E DE SUAS TUBULAÇÕES NÃO HOUVE UM EFETIVO TRABALHO DE INSPETORIA, PASSANDO DESPERCEBIDA A AUSÊNCIA DO DISPOSITIVO DE FRENO NA CONEXÃO DO TUBO DE PC AO FCU.                                                                                                                                                                                                                                                                                                                                                 "
26980,                                                                                                                                ,                                                                                                ,                             ,                                           ,                 ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
26999,                                                                                                                                ,                                                                                                ,                             ,                                           ,                 ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
27059,11186                                                                                                                           ,APLICAÇÃO DE COMANDOS                                                                           ,DESEMPENHO DO SER HUMANO     ,OPERAÇÃO DA AERONAVE                       ,FATOR OPERACIONAL,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
27060,                                                                                                                                ,                                                                                                ,                             ,                                           ,                 ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
27081,11188                                                                                                                           ,JULGAMENTO DE PILOTAGEM                                                                         ,DESEMPENHO DO SER HUMANO     ,OPERAÇÃO DA AERONAVE                       ,FATOR OPERACIONAL,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
27140,                                                                                                                                ,                                                                                                ,                             ,                                           ,                 ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
27162,11190                                                                                                                           ,APLICAÇÃO DE COMANDOS                                                                           ,DESEMPENHO DO SER HUMANO     ,OPERAÇÃO DA AERONAVE                       ,FATOR OPERACIONAL,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
27180,                                                                                                                                ,                                                                                                ,                             ,                                           ,                 ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
27260,11199                                                                                                                           ,SUPERVISÃO GERENCIAL                                                                            ,DESEMPENHO DO SER HUMANO     ,OPERAÇÃO DA AERONAVE                       ,FATOR OPERACIONAL,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
27261,11200                                                                                                                           ,SUPERVISÃO GERENCIAL                                                                            ,DESEMPENHO DO SER HUMANO     ,OPERAÇÃO DA AERONAVE                       ,FATOR OPERACIONAL,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
27302,11203                                                                                                                           ,JULGAMENTO DE PILOTAGEM                                                                         ,DESEMPENHO DO SER HUMANO     ,OPERAÇÃO DA AERONAVE                       ,FATOR OPERACIONAL,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
27306,                                                                                                                                ,                                                                                                ,                             ,                                           ,                 ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
27347,11207                                                                                                                           ,APLICAÇÃO DE COMANDOS                                                                           ,DESEMPENHO DO SER HUMANO     ,OPERAÇÃO DA AERONAVE                       ,FATOR OPERACIONAL,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
